fre,mag
0,-62.6034
0.003,-62.62409
0.006,-62.68537
0.009,-62.78486
0.012,-62.91831
0.015,-63.07931
0.018,-63.25886
0.021,-63.44502
0.024,-63.62277
0.027,-63.77444
0.03,-63.881
0.033,-63.92435
0.036,-63.89034
0.039,-63.77174
0.042,-63.56995
0.045,-63.2946
0.048,-62.96143
0.051,-62.58914
0.054,-62.19659
0.057,-61.80087
0.06,-61.41629
0.063,-61.05434
0.066,-60.72388
0.069,-60.43168
0.072,-60.18296
0.075,-59.98182
0.078,-59.83169
0.081,-59.73563
0.084,-59.69662
0.087,-59.71783
0.09,-59.80284
0.093,-59.95586
0.096,-60.18201
0.099,-60.48766
0.102,-60.8808
0.105,-61.37165
0.108,-61.97334
0.111,-62.70297
0.114,-63.58286
0.117,-64.642
0.12,-65.91638
0.123,-67.44327
0.126,-69.22914
0.129,-71.11973
0.132,-72.46363
0.135,-72.20802
0.138,-70.49023
0.141,-68.37984
0.144,-66.42178
0.147,-64.72709
0.15,-63.27955
0.153,-62.04113
0.156,-60.97694
0.159,-60.0593
0.162,-59.26701
0.165,-58.58395
0.168,-57.99785
0.171,-57.49937
0.174,-57.08142
0.177,-56.73866
0.18,-56.46718
0.183,-56.2643
0.186,-56.12835
0.189,-56.05863
0.192,-56.05537
0.195,-56.11969
0.198,-56.25372
0.201,-56.46062
0.204,-56.74481
0.207,-57.11213
0.21,-57.57018
0.213,-58.12861
0.216,-58.79955
0.219,-59.59777
0.222,-60.54024
0.225,-61.64322
0.228,-62.91239
0.231,-64.31292
0.234,-65.69332
0.237,-66.66766
0.24,-66.70922
0.243,-65.72708
0.246,-64.19843
0.249,-62.57495
0.252,-61.05836
0.255,-59.70374
0.258,-58.51148
0.261,-57.46633
0.264,-56.55076
0.267,-55.74895
0.27,-55.04769
0.273,-54.43625
0.276,-53.906
0.279,-53.45007
0.282,-53.06296
0.285,-52.74036
0.288,-52.47885
0.291,-52.27583
0.294,-52.12931
0.297,-52.03788
0.3,-52.00058
0.303,-52.01684
0.306,-52.08637
0.309,-52.20909
0.312,-52.38497
0.315,-52.61383
0.318,-52.89503
0.321,-53.22699
0.324,-53.60647
0.327,-54.02741
0.33,-54.4794
0.333,-54.94548
0.336,-55.39983
0.339,-55.80611
0.342,-56.11873
0.345,-56.28954
0.348,-56.28063
0.351,-56.07818
0.354,-55.69825
