sp_1	sp_2	sp_3	sp_4	sp_5	sp_6	sp_7
-62.6034	-56.13992	-54.88823	-49.38233	-46.99829	-46.99829	-74.56422
-62.62409	-56.12872	-54.87699	-49.39264	-47.00565	-47.00565	-74.59253
-62.68537	-56.09606	-54.84453	-49.42036	-47.0257	-47.0257	-74.67797
-62.78486	-56.04471	-54.79449	-49.45647	-47.05272	-47.05272	-74.82206
-62.91831	-55.97895	-54.73237	-49.48799	-47.07836	-47.07836	-75.02743
-63.07931	-55.90414	-54.66496	-49.50115	-47.09334	-47.09334	-75.29802
-63.25886	-55.82626	-54.59963	-49.48519	-47.08968	-47.08968	-75.63936
-63.44502	-55.75146	-54.54371	-49.436	-47.06283	-47.06283	-76.05899
-63.62277	-55.68573	-54.50401	-49.35802	-47.01319	-47.01319	-76.56711
-63.77444	-55.63461	-54.48646	-49.26363	-46.94649	-46.94649	-77.17767
-63.881	-55.60302	-54.49587	-49.17051	-46.87279	-46.87279	-77.90998
-63.92435	-55.59517	-54.53577	-49.09782	-46.80465	-46.80465	-78.79153
-63.89034	-55.61451	-54.6082	-49.06268	-46.75489	-46.75489	-79.86287
-63.77174	-55.66364	-54.71359	-49.07739	-46.73457	-46.73457	-81.18708
-63.56995	-55.7443	-54.85046	-49.14742	-46.75126	-46.75126	-82.86953
-63.2946	-55.85722	-55.01509	-49.26979	-46.80789	-46.80789	-85.10594
-62.96143	-56.00204	-55.20114	-49.43174	-46.90168	-46.90168	-88.32604
-62.58914	-56.17697	-55.39921	-49.61008	-47.02358	-47.02358	-93.81162
-62.19659	-56.37858	-55.59665	-49.7724	-47.15806	-47.15806	-106.86989
-61.80087	-56.60129	-55.77768	-49.88197	-47.28415	-47.28415	-94.18796
-61.41629	-56.83696	-55.92433	-49.90697	-47.37806	-47.37806	-87.98084
-61.05434	-57.07448	-56.01835	-49.83156	-47.41798	-47.41798	-84.26766
-60.72388	-57.29957	-56.04408	-49.663	-47.38988	-47.38988	-81.5983
-60.43168	-57.4952	-55.99164	-49.42982	-47.29223	-47.29223	-79.50538
-60.18296	-57.64272	-55.85934	-49.1727	-47.13714	-47.13714	-77.77978
-59.98182	-57.72421	-55.65421	-48.93377	-46.94735	-46.94735	-76.30984
-59.83169	-57.72549	-55.39053	-48.74925	-46.75077	-46.75077	-75.02888
-59.73563	-57.63914	-55.08688	-48.64626	-46.57506	-46.57506	-73.89386
-59.69662	-57.46636	-54.76309	-48.64231	-46.44398	-46.44398	-72.87537
-59.71783	-57.21674	-54.43781	-48.74521	-46.37552	-46.37552	-71.95243
-59.80284	-56.90613	-54.12725	-48.9523	-46.38117	-46.38117	-71.1095
-59.95586	-56.55355	-53.84466	-49.24792	-46.46556	-46.46556	-70.33479
-60.18201	-56.17826	-53.60058	-49.59934	-46.62569	-46.62569	-69.61908
-60.48766	-55.79775	-53.40326	-49.9529	-46.84958	-46.84958	-68.95508
-60.8808	-55.42672	-53.25914	-50.23577	-47.11436	-47.11436	-68.33689
-61.37165	-55.07694	-53.17343	-50.37147	-47.38498	-47.38498	-67.75965
-61.97334	-54.75751	-53.15044	-50.31018	-47.61576	-47.61576	-67.21934
-62.70297	-54.47534	-53.19393	-50.05586	-47.75765	-47.75765	-66.71259
-63.58286	-54.23569	-53.3073	-49.66514	-47.77232	-47.77232	-66.23651
-64.642	-54.04263	-53.49368	-49.21932	-47.64724	-47.64724	-65.78865
-65.91638	-53.89947	-53.75582	-48.79502	-47.40192	-47.40192	-65.36688
-67.44327	-53.80903	-54.0958	-48.4503	-47.08021	-47.08021	-64.96935
-69.22914	-53.77395	-54.51427	-48.22388	-46.7349	-46.7349	-64.59442
-71.11973	-53.79685	-55.00914	-48.13956	-46.41467	-46.41467	-64.24067
-72.46363	-53.88053	-55.57303	-48.21028	-46.15776	-46.15776	-63.90681
-72.20802	-54.02809	-56.18912	-48.43988	-45.99124	-45.99124	-63.59169
-70.49023	-54.24304	-56.82497	-48.82135	-45.93253	-45.93253	-63.29429
-68.37984	-54.52939	-57.42508	-49.33046	-45.99103	-45.99103	-63.01366
-66.42178	-54.89166	-57.90766	-49.91369	-46.16875	-46.16875	-62.74896
-64.72709	-55.3348	-58.17649	-50.47374	-46.45901	-46.45901	-62.49938
-63.27955	-55.86383	-58.15624	-50.86893	-46.84306	-46.84306	-62.26421
-62.04113	-56.48302	-57.83414	-50.9582	-47.28433	-47.28433	-62.04277
-60.97694	-57.19402	-57.26826	-50.68902	-47.72241	-47.72241	-61.8344
-60.0593	-57.99193	-56.55325	-50.14018	-48.07302	-48.07302	-61.63851
-59.26701	-58.85751	-55.77905	-49.4622	-48.24514	-48.24514	-61.45452
-58.58395	-59.74315	-55.01108	-48.7935	-48.1788	-48.1788	-61.28187
